frame,mse,rmse,mae,psnr,snr,ssim,mmd,capacity_bits,embedded_bits,capacity_ratio,embed_time_sec
43,0.007662037037037037,0.08753306253660406,0.007662037037037037,69.28736113907104,56.00423243154048,0.9999465127102938,0.00024948559671145176,5924,5924,1.0,0.1319725513458252
109,0.007767489711934156,0.08813336321696884,0.007767489711934156,69.22799674164997,55.432655122868155,0.9999358471562231,0.00023662551440395418,6040,6040,1.0,0.13895845413208008
130,0.008045267489711934,0.08969541509860988,0.008045267489711934,69.07539872734337,55.9847832105435,0.9999305199712479,6.687242798619764e-05,6312,6312,1.0,0.13657426834106445
72,0.007600308641975309,0.08717974903597342,0.007600308641975309,69.32249131904874,56.28866262751959,0.9999487979614919,0.00014146090534694622,5966,5966,1.0,0.21056175231933594
22,0.007713477366255144,0.08782640472121778,0.007713477366255144,69.2583015136262,56.01450124635913,0.9999324601842451,0.0004295267489737853,6008,6008,1.0,0.14134621620178223
4,0.007996399176954733,0.08942258762166712,0.007996399176954733,69.10185895078955,55.87295825851526,0.9999416093438481,0.0006249999999994316,6226,6226,1.0,0.1431736946105957
57,0.007991255144032922,0.0893938205024985,0.007991255144032922,69.10465363867173,55.94063459079298,0.999945822226167,0.00022376543210356203,6243,6243,1.0,0.1358330249786377
15,0.007857510288065844,0.08864259860848983,0.007857510288065844,69.17795402543574,55.90401192855286,0.9999368233015359,0.0001929012345698311,6127,6127,1.0,0.13988804817199707
151,0.008261316872427983,0.09089178660598538,0.008261316872427983,68.96031080515505,56.60898104601654,0.9999262299708357,0.0005709876543207315,6347,6347,1.0,0.14208006858825684
114,0.008186728395061729,0.09048054152723517,0.008186728395061729,68.99969978501144,55.48647035056791,0.9999203329540144,0.0005581275720132339,6300,6300,1.0,0.153167724609375
133,0.008343621399176954,0.09134342559361869,0.008343621399176954,68.91725771583029,55.91000475235368,0.9999396922087279,1.543209876331275e-05,6434,6434,1.0,0.12889838218688965
75,0.007618312757201646,0.0872829465428479,0.007618312757201646,69.31221562936958,56.28579107559488,0.9999516784033636,4.629629629704368e-05,5928,5928,1.0,0.15611767768859863
99,0.008106995884773663,0.09003885763809791,0.008106995884773663,69.0422040830463,55.132459356885875,0.9999199640671611,0.0004938271604899569,6324,6324,1.0,0.1449720859527588
50,0.008081275720164609,0.08989591603718497,0.008081275720164609,69.05600436418193,55.79187206924922,0.9999410127135242,4.115226337120248e-05,6321,6321,1.0,0.14336466789245605
83,0.0076054526748971195,0.08720924649884965,0.0076054526748971195,69.3195529259603,56.17031658415007,0.9999471336546658,0.00014660493827278742,5915,5915,1.0,0.13756394386291504
56,0.00816358024691358,0.0903525331516144,0.00816358024691358,69.01199694703318,55.83575192120037,0.999935875629309,0.000390946502058398,6322,6322,1.0,0.13669586181640625
140,0.002433127572016461,0.04932674296987853,0.002433127572016461,74.26915480720355,61.41226147038611,0.9999796585792554,5.658436214162066e-05,6305,1881,0.29833465503568596,0.13305974006652832
